,Client Numbers,Client Names
0,6614869372, Anchors Down Home Care LLC
1,2123151412,43RD ST PHYSICAL MEDICINE PC
2,7315540571,45 Urgent Care
3,2818372288,"A A R, M.D., P.A."
4,7132392347,"A A R, M.D., P.A."
5,2815791717,"A A R, M.D., P.A."
6,8328792942,"A A R, M.D., P.A."
7,7133591000,"A A R, M.D., P.A."
8,7139487000,"A A R, M.D., P.A."
9,8322308839,"A A R, M.D., P.A."
10,7133303887,"A A R, M.D., P.A."
11,2489055091,"A A R, M.D., P.A."
12,2817255000,"A A R, M.D., P.A."
13,2815583444,"A A R, M.D., P.A."
14,9803995454,A Grade Therapy
15,2157471744,"A. H. SIMMONS, MD"
16,4433962419,"A.R.P Counseling & Therapeutic Services, LLC"
17,9566871261,Aadam Quraishi MD PA Interventional Treatment Institute
18,2104606378,Aadam Quraishi MD PA Interventional Treatment Institute
19,8478617615,AAFIYAH SOLUTIONS INC (Galaxy Medical Lab)
20,8477648992,AAFIYAH SOLUTIONS INC (Galaxy Medical Lab)
21,5122577600,Absolute Dermatology & Medi-Spa
22,5099570097,Access Mobile Medicine
23,5099922562,Access Mobile Medicine
24,8442277599,ACCESS PRIMARY CARE PHYSICIANS INC.
25,5166788777,Accurate Dermatology P.L.L.C
26,5168229730,Accurate Dermatology P.L.L.C
27,7187872215,Accurate Dermatology P.L.L.C
28,2123438290,"Active Care Physician, P.C."
29,4805269292,Ada Psychiatry
30,9183932600,Addiction Management
31,9547812211,"Adel Helmy, M.D., FAAP"
32,5613957100,"Adel Helmy, M.D., FAAP"
33,9543443000,"Adel Helmy, M.D., FAAP"
34,9547718000,"Adel Helmy, M.D., FAAP"
35,9545875010,"Adel Helmy, M.D., FAAP"
36,3052233000,"Adel Helmy, M.D., FAAP"
37,4122792020,Adiba Ahmed MD
38,4125614900,Adiba Ahmed MD
39,4128316050,Adiba Ahmed MD
40,4124293000,Adiba Ahmed MD
41,4122574566,Adiba Ahmed MD
42,4123411030,Adiba Ahmed MD
43,4123447744,Adiba Ahmed MD
44,412257444,Adiba Ahmed MD
45,4128843500,Adiba Ahmed MD
46,4122781300,Adiba Ahmed MD
47,4125636550,Adiba Ahmed MD
48,4125711300,Adiba Ahmed MD
49,4128848500,Adiba Ahmed MD
50,4124893560,Adiba Ahmed MD
51,4122572474,Adiba Ahmed MD
52,3303455374,"Adult Geriatrics of Wooster, Inc."
53,4073518222,Advanced Cardiology Specialists P.A. 
54,4073034000,Advanced Cardiology Specialists P.A. 
55,4073518500,Advanced Cardiology Specialists P.A. 
56,4078462266,Advanced Cardiology Specialists P.A. 
57,3525366340,Advanced Cardiology Specialists P.A. 
58,7244585844,Advanced Chiropractic of Grove City
59,2819575655,"Advanced Colon Care, PLLC"
60,7137707000,"Advanced Colon Care, PLLC"
61,7733856069,Advanced Dermatology Center
62,7737748000,Advanced Dermatology Center
63,7333856069,Advanced Dermatology Center
64,8653809300,Advanced Dermatology East Tennessee PC
65,4073521303,Advanced Gastroenterology Aff
66,4072649633,Advanced Gastroenterology Aff
67,8666317890,Advanced Gastroenterology Aff
68,7724023449,Advanced Heart and Rhythm Clinic
69,3037080246,Advanced Integrative Medicine
70,5013214292,Advanced Interventional Pain Management
71,5013214772,Advanced Interventional Pain Management
72,8707747246,Advanced Interventional Pain Management
73,8704445210,Advanced Interventional Pain Management
74,4795822800,Advanced Interventional Pain Management
75,7182920100,Advanced Interventional Pain Surgery Center
76,5013214772,Advanced Interventional Pain Surgery Center
77,8707747246,Advanced Interventional Pain Surgery Center
78,5612184859,Advanced Kidney and Hypertension Care
79,9547227001,Advanced Kidney and Hypertension Care
80,5614984440,Advanced Kidney and Hypertension Care
81,8008815101,Advanced Kidney and Hypertension Care
82,2012951099,Advanced Magnetic Imaging
83,7182871811,Advanced Medical Office P.C
84,7187690506,Advanced Medical Office P.C
85,4433331894,Advanced Molecular Imaging and Therapy
86,9316512066,Advanced Neurology of Cookeville
87,2127440392,"Advanced Ob/Gyn, PC"
88,7183361909,"Advanced Ob/Gyn, PC"
89,2127027777,"Advanced Ob/Gyn, PC"
90,7249330300,Advanced Pain Medicine
91,7858566170,"Advanced Specialty Anesthesia, LLC"
92,7858568472,"Advanced Specialty Anesthesia, LLC"
93,7852156658,"Advanced Specialty Anesthesia, LLC"
94,9137645600,"Advanced Specialty Anesthesia, LLC"
95,9136859990,"Advanced Specialty Anesthesia, LLC"
96,9133979000,"Advanced Specialty Anesthesia, LLC"
97,9133789610,"Advanced Specialty Anesthesia, LLC"
98,7852679500,"Advanced Specialty Anesthesia, LLC"
99,7853127770,"Advanced Specialty Anesthesia, LLC"
100,6202767623,"Advanced Specialty Anesthesia, LLC"
101,9132877977,"Advanced Specialty Anesthesia, LLC"
102,6203648414,"Advanced Specialty Anesthesia, LLC"
103,9137452500,"Advanced Specialty Anesthesia, LLC"
104,8889931707,"Advanced Specialty Anesthesia, LLC"
105,7856256001,"Advanced Specialty Anesthesia, LLC"
106,9133873500,"Advanced Specialty Anesthesia, LLC"
107,7853922194,"Advanced Specialty Anesthesia, LLC"
108,9137646367,"Advanced Specialty Anesthesia, LLC"
109,6209470050,"Advanced Specialty Anesthesia, LLC"
110,6202717474,"Advanced Specialty Anesthesia, LLC"
111,9138562333,"Advanced Specialty Anesthesia, LLC"
112,9132993300,"Advanced Specialty Anesthesia, LLC"
113,9139544174,"Advanced Specialty Anesthesia, LLC"
114,9132506583,"Advanced Specialty Anesthesia, LLC"
115,6202754949,"Advanced Specialty Anesthesia, LLC"
116,7858568550,"Advanced Specialty Anesthesia, LLC"
117,7857383758,"Advanced Specialty Anesthesia, LLC"
118,7857837550,"Advanced Specialty Anesthesia, LLC"
119,7853123820,"Advanced Specialty Anesthesia, LLC"
120,9133335085,"Advanced Specialty Anesthesia, LLC"
121,7854041712,"Advanced Specialty Anesthesia, LLC"
122,7853708004,"Advanced Specialty Anesthesia, LLC"
123,7858434076,"Advanced Specialty Anesthesia, LLC"
124,7852711002,"Advanced Specialty Anesthesia, LLC"
125,7857835981,"Advanced Specialty Anesthesia, LLC"
126,9133450331,"Advanced Specialty Anesthesia, LLC"
127,7852629357,"Advanced Specialty Anesthesia, LLC"
128,7852945599,"Advanced Specialty Anesthesia, LLC"
129,9138297000,"Advanced Specialty Anesthesia, LLC"
130,9135637400,"Advanced Specialty Anesthesia, LLC"
131,9136859111,"Advanced Specialty Anesthesia, LLC"
132,9132681337,"Advanced Specialty Anesthesia, LLC"
133,8165611115,"Advanced Specialty Anesthesia, LLC"
134,6202754251,"Advanced Specialty Anesthesia, LLC"
135,9138715771,"Advanced Specialty Anesthesia, LLC"
136,8162353455,"Advanced Specialty Anesthesia, LLC"
137,9132390703,"Advanced Specialty Anesthesia, LLC"
138,7856268290,"Advanced Specialty Anesthesia, LLC"
139,9137804084,"Advanced Specialty Anesthesia, LLC"
140,6206049279,"Advanced Specialty Anesthesia, LLC"
141,9133226455,"Advanced Specialty Anesthesia, LLC"
142,9132987360,"Advanced Specialty Anesthesia, LLC"
143,7852664412,"Advanced Specialty Anesthesia, LLC"
144,3168322838,"Advanced Specialty Anesthesia, LLC"
145,6206252185,"Advanced Specialty Anesthesia, LLC"
146,7854606800,"Advanced Specialty Anesthesia, LLC"
147,9132855301,"Advanced Specialty Anesthesia, LLC"
148,9133903555,"Advanced Specialty Anesthesia, LLC"
149,6202230130,"Advanced Specialty Anesthesia, LLC"
150,7857760097,"Advanced Specialty Anesthesia, LLC"
151,6202316788,"Advanced Specialty Anesthesia, LLC"
152,3166832525,"Advanced Specialty Anesthesia, LLC"
153,7858418894,"Advanced Specialty Anesthesia, LLC"
154,6207174450,"Advanced Specialty Anesthesia, LLC"
155,9134919119,"Advanced Specialty Anesthesia, LLC"
156,9133080533,"Advanced Specialty Anesthesia, LLC"
157,9133138428,"Advanced Specialty Anesthesia, LLC"
158,9137645114,"Advanced Specialty Anesthesia, LLC"
159,9136493313,"Advanced Specialty Anesthesia, LLC"
160,9138290981,"Advanced Specialty Anesthesia, LLC"
161,7858385650,"Advanced Specialty Anesthesia, LLC"
162,9138002450,"Advanced Specialty Anesthesia, LLC"
163,6207925523,"Advanced Specialty Anesthesia, LLC"
164,9133539600,"Advanced Specialty Anesthesia, LLC"
165,9198519193,"Advanced Surgical Associates, PA"
166,7324312155,ADVANCED WELLNESS CENTER
167,7325270185,ADVANCED WELLNESS CENTER
168,7326175990,ADVANCED WELLNESS CENTER
169,7329013001,ADVANCED WELLNESS CENTER
170,2018570720,ADVANCED WELLNESS CENTER
171,7327801111,ADVANCED WELLNESS CENTER
172,7327395900,ADVANCED WELLNESS CENTER
173,2018439441,ADVANCED WELLNESS CENTER
174,2018585000,ADVANCED WELLNESS CENTER
175,2017950205,ADVANCED WELLNESS CENTER
176,6099287500,ADVANCED WELLNESS CENTER
177,8568452225,AFFILIATED PHYSICIANS NETWORK
178,9735585353,AFFILIATED SPORTS CLINIC
179,7754556015,Agape Hospice and Palliative Care
180,2013814800,Agile Urgent Care
181,6466179466,"Agnieszka Kokoszka, MD"
182,6466614117,"Agnieszka Kokoszka, MD"
183,7248645090,Agona Chiropractic Clinic
184,4126783844,Agona Chiropractic Clinic
185,8633576030,Ahmed Akhtar MD LLC
186,8637632226,Ahmed Akhtar MD LLC
187,8637632151,Ahmed Akhtar MD LLC
188,2012245252,AHMED M FAHMY MD LLC
189,9545717727,"Ajit Singh, MD PA"
190,9547866955,"Ajit Singh, MD PA"
191,9549787700,"Ajit Singh, MD PA"
192,9549756399,"Ajit Singh, MD PA"
193,9549418300,"Ajit Singh, MD PA"
194,9547490300,"Ajit Singh, MD PA"
195,9547216541,"AKKIL ALI MD,PA"
196,9547718000,"AKKIL ALI MD,PA"
197,9549740400,"AKKIL ALI MD,PA"
198,9547768500,"AKKIL ALI MD,PA"
199,9547866640,"AKKIL ALI MD,PA"
200,9547356000,"AKKIL ALI MD,PA"
201,9543443000,"AKKIL ALI MD,PA"
202,9547648900,"AKKIL ALI MD,PA"
203,9543554400,"AKKIL ALI MD,PA"
204,9547330655,"AKKIL ALI MD,PA"
205,9543159693,"AKKIL ALI MD,PA"
206,9547718400,"AKKIL ALI MD,PA"
207,9545836200,"AKKIL ALI MD,PA"
208,9545724000,"AKKIL ALI MD,PA"
209,9545668353,"AKKIL ALI MD,PA"
210,9544856144,"AKKIL ALI MD,PA"
211,8032335500,AKPC Eastern
212,7042723828,AKPC Eastern
213,7042723884,AKPC Eastern
214,6145040740,AKPC Eastern
215,5163312082,AKPC Eastern
216,8596879456,AKPC Eastern
217,7329740044,AKPC Eastern
218,6313337322,AKPC Eastern
219,5139045888,AKPC Eastern
220,9147857752,AKPC Eastern
221,8596879456,AKPC KY Lexington
222,8596879456,AKPC KY Louisville
223,5023833222,AKPC KY Louisville
224,7329740044,AKPC NJ Wall
225,5163312082,AKPC NY Garden City
226,6313337322,AKPC NY Manhattan
227,6468467444,AKPC NY Manhattan
228,5555555555,AKPC NY Smithtown
229,6313337322,AKPC NY Smithtown
230,5139045888,AKPC OH Cincinnati
231,5133420030,AKPC OH Cincinnati
232,6145040740,AKPC OH Dublin
233,8032335500,AKPC Southeast Region
234,7042723828,AKPC Southeast Region
235,7042723884,AKPC Southeast Region
236,6145040740,AKPC Southeast Region
237,5163312082,AKPC Southeast Region
238,8596879456,AKPC Southeast Region
239,7329740044,AKPC Southeast Region
240,6313337322,AKPC Southeast Region
241,5139045888,AKPC Southeast Region
242,9147857752,AKPC Southeast Region
243,2148129770,AKPC TX Dallas
244,2818823437,AKPC TX Woodlands
245,8326886111,AKPC TX Woodlands
246,8638243447,AKRO GASTRO LLC
247,8637632151,AKRO GASTRO LLC
248,9096200200,"ALAA M. LATIF, M.D., INC."
249,9099852811,"ALAA M. LATIF, M.D., INC."
250,2565470536,Alabama Cancer Care
251,2562450297,Alabama Cancer Care
252,3342738877,Alabama Cancer Care
253,2568473369,Alabama Cancer Care
254,2568453500,Alabama Cancer Care
255,3342778330,Alabama Cancer Care
256,3342698419,Alabama Cancer Care
257,2564014000,Alabama Cancer Care
258,3343955000,Alabama Cancer Care
259,2562355121,Alabama Cancer Care
260,2562358900,Alabama Cancer Care
261,2565435200,Alabama Cancer Care
262,2564944000,Alabama Cancer Care
263,2568453150,Alabama Cancer Care
264,5754342965,Alamogordo Internal Medicine
265,9176962169,"Alana Kaufman LCSW, P.C."
266,9177714856,"Alana Kaufman LCSW, P.C."
267,2523384400,Albemarle Regional Health Services
268,2524262100,Albemarle Regional Health Services
269,2523384460,Albemarle Regional Health Services
270,2524826003,Albemarle Regional Health Services
271,2522322271,Albemarle Regional Health Services
272,2523571380,Albemarle Regional Health Services
